url,image,name,coach,manager
https://www.pba.ph/teams/blackwater-elite,https://dashboard.pba.ph/assets/logo/Blackwater_new_logo_2021.png,Blackwater Elite,Mr. Ariel Vanguardia,"Mr. Johnson Martinez, Mr. Patrick Aquino"
https://www.pba.ph/teams/meralco-bolts,https://dashboard.pba.ph/assets/logo/web_mer.png,Meralco Bolts,Mr. Norman Black,Mr. Paolo Trillo
https://www.pba.ph/teams/tnt-tropang-giga,https://dashboard.pba.ph/assets/logo/TNT_2020.png,TNT Tropang Giga,Mr. Chot Reyes,"Mr. Isabelo Lastimosa, Mr. Miguel Fernandez"
https://www.pba.ph/teams/san-miguel-beermen,https://dashboard.pba.ph/assets/logo/SMB2020_web.png,San Miguel Beermen,Mr. Leo Austria,"Mr. Gelacio Abanilla, Mr. Daniel Henares"
https://www.pba.ph/teams/terrafirma-dyip,https://dashboard.pba.ph/assets/logo/terrafirma.png,Terrafirma Dyip,Mr. John Edel Cardel,Mr. Ronald Tubid
https://www.pba.ph/teams/barangay-ginebra-san-miguel,https://dashboard.pba.ph/assets/logo/GIN_web.png,Barangay Ginebra San Miguel,Mr. Earl Timothy Cone,"Mr. Alfrancis Chua, Mr. Raymond Rodriguez"
https://www.pba.ph/teams/converge-fiberxers,https://dashboard.pba.ph/assets/logo/converge-logo2.png,Converge FiberXers,Mr. Aldin Ayo,Atty. Angelico Salud
https://www.pba.ph/teams/phoenix-fuelmasters,https://dashboard.pba.ph/assets/logo/phx2020.png,Phoenix Fuel Masters,Mr. Michael Robinson,Mr. Paolo Bugia
https://www.pba.ph/teams/globalport-batang-pier,https://dashboard.pba.ph/assets/logo/GLO_web.png,North Port Batang Pier,Mr. Pido Jarencio,"Mr. Bonnie Tan, Mr. Waiyip Chong"
https://www.pba.ph/teams/rain-or-shine-elastopainters,https://dashboard.pba.ph/assets/logo/web_ros.png,Rain or Shine Elastopainters,Mr. Yeng Guiao,"Atty. Mamerto Mondragon, Mr. Jireh Ibanes"
https://www.pba.ph/teams/magnolia-hotshots,https://dashboard.pba.ph/assets/logo/magnolia-2022-logo.png,Magnolia Chicken Timplados Hotshots,Mr. Chito Victolero,Mr. Alvin Patrimonio
https://www.pba.ph/teams/nlex-road-warriors,https://dashboard.pba.ph/assets/logo/web_nlx.png,NLEX Road Warriors,Frankie Lim,Mr. Raymond Celis; Mr. Ronald Dulatre
